suggestion_id,content_masked,topic_label,pain_score,pain_score_new
539,"Dẹp vietcredit vay nhanh dùm, vay xong ngta trả đàng hoàn lúc có sự cô k thanh toàn dc vài ngày đã điện đe dọa, thái độ, châm biến ng vay, quá hạn 1 kỳ gọi ồ ập liên tục, đã phản hồi bằng tin nhắn nhưng vẫn điện liên tục gây ảnh hưởng, gửi mail đe dọa tới địa chỉ nhà, liên lạc ng thân, mail đe dọa kiện hình sự trong khi vẫn phản hồi tin nhắn. Phản hồi nhưng k cân nhắc vẫn điện ồ ạc k ngừng, k quan tâm nội dung ng vay gửi Khi đi làm k bắt máy dc vẫn phản hồi tin nhắn thì bảo tránh né và sẽ kiện. ",Cụm 0: Gọi / Điện / Thoại,1.0,0.787173492182931
1955,tôi mới chậm trả 1 ngày mà bị làm phiền quá nhìu đã chấp nhận trả chậm chịu phạt với lãi vẫn bị gọi quấy r đe doạ báo trốn nợ người thân,Cụm 0: Gọi / Điện / Thoại,1.0,0.7034389698441188
72,"vui lòng chưa quá hạn thanh toán thì đừng liên hệ tham chiếu, vấn đề báo hẹn trước 1 tuần mà cứ phiền báo qua tham chiếu thật sự rất khó chịu, kiểu này không khác gì tín dụng đen hết!",Cụm 0: Gọi / Điện / Thoại,0.65,0.6539474612460686
1116,"hạn vay có mà chưa đến ngày dùng đủ số đt gọi trấn âp. xin nhờ momo cho tôi biết bên cho vay nhanh trên ứng dụng momo thông tin số đt chính thức bên họ để tôi có thể đến và làm việc về thái độ đòi nợ như xã hội đen ko, khủng bố điện thoại khi chưa đến hạn, thâm chí thanh toán rồi vẫn gọi điện làm phiền? tưởng uy tín ai ngờ y như tín dụng đen???? quy định nào bắt người nợ phải thanh toán trc ngày đến hạn? ko thì đt khủng bố và tính thêm tiền?????",Cụm 0: Gọi / Điện / Thoại,1.0,0.6539474612460686
918,Tôi bị Tài khoản này làm phiền và đe dọa liên tục,Cụm 0: Gọi / Điện / Thoại,0.35,0.6271916820725145
708,"tôi thấy rất phiền khi chưa đến ngày đóng mà gọi liên tục , nhắc nhỡ có thể 1 lần là được khi trễ hạn hãy gọi tiếp , còn này mỗi ngày mỗi gọi là sao nếu thấy không được thì thôi đóng tài khoản của tôi luôn đi , đừng phiền hà như vậy",Cụm 0: Gọi / Điện / Thoại,0.35,0.5383070347740628
3069,Tổng đài liên tục gọi làm phiền dù chưa đến hạn thanh toán.,Cụm 0: Gọi / Điện / Thoại,0.35,0.5070567040999464
3063,"Sp vay bởi mcredit đối xử với khách hàng như tín dụng đen. Chưa tới ngày đóng tiền mà nhân viên giọng rất xấc xược gọi ""khủng bố"" suốt cả 3 4 ngày cả thứ 7 chủ nhật vào sáng sớm lẫn trưa. Đỉnh điểm là hôm nay lại tiếp tục gọi lúc 8am sáng nhắc một lần và 11am lại gọi mình lần nữa nói mình phải đóng trước trưa ko sẽ trễ hạn thanh toán mà rõ ràng hạn là 3/2 chứ ko phải 2/2. Mình sử dụng nhiều dv của momo và rất hài lòng về chất lượng dịch vụ và chưa bao giờ trễ. Đây có lẽ là lần thất vọng nhất.",Cụm 0: Gọi / Điện / Thoại,0.65,0.48317049498018866
1847,đến hạn hãy gọi cho khách hàng được chứ từ 1 2 tây là điện thoại như lừa đảo ấy khách hàng đâu rảnh rỗi mà nhận điện thoại bên mình 1 ngày điện thoại mấy cuộc thật phiền phức không nhận thì còn nhấn tin nữa biết phiền lắm không ak,Cụm 0: Gọi / Điện / Thoại,0.65,0.46927575470542376
2340,người này làm phiền tôi và lừa đảo thẻ wintel của tôi,Cụm 0: Gọi / Điện / Thoại,0.65,0.46927575470542376
1540,nhân viên gọi điện nói chuyện vô ý thức không chuyên nghiệp gọi đến nói năng vô tắc vô phép. gọi điện hăm doạ trả treo mắng khách hàng. 2 lần bị gọi điện lại hăm doạ!! đề nghị tập lại nghiệp vụ cũng như nâng cấp giới thiệu tên tuổi để còn biết ai là là bên đâu!! quá kém,Cụm 0: Gọi / Điện / Thoại,0.65,0.45422376225706856
2280,"CRM: Chào chị Ngân, em là Diễm My nhân viên Chăm Sóc Khách Hàng của MoMo, em xin phép được hỗ trợ chị ạ.
USER: Chấn động thiệt gặp Diễm My khó quáCho chị hỏi app mới cập nhật ở mục Tôi thì chị vào ko thấy mục quản lý đặt chỗ nữa, mục này hiện đang nằm ở mục nào vậy ạ
CRM: MoMo rất tiếc về trường hợp chị Ngân gặp phải, vấn đề chị Ngân cần hỗ trợ là kiểm tra mục quản lý đặt chổ trên tài khoản MoMo chị đang liên hệ đúng không ạ?
USER: Uh
CRM: Dạ chị có thể vào MoMo > tại mục tìm kiếm ""Quản lý đặt chổ"" nhé.
USER: Mục đó bị ẩn luôn rồi hả em
USER: Chứ chị tìm kiếm thì ra
USER: Tại chị muốn hỏi nó nằm trong mục lớn nào
USER: Chỗ nha chứ không phải “chổ”
CRM: Dạ vâng ạ, chị  vui lòng chờ trong giây lát, MoMo kiểm tra thông tin sẽ phản hồi đến chị ạ.
CRM: Cảm ơn chị đã chờ MoMo kiểm tra thông tin ạ. Dạ sau khi cập nhật phiên bản mới, mục ""Quản lý đặt chỗ"" sẽ không được hiển thị tại mục ""Tôi"" nữa. Rất mong chị thông cảm về vấn đề này ạ.
USER: Vậy là ẩn luôn phải search trong mục tìm kiếm hả c
CRM: Dạ vâng ạ.
USER: BẤT TIỆN QUÁChị báo bộ phận phụ trách là hiển thị lại mục quản lý đặt chỗ đề KH tiện theo dõi vé máy bay, tàu, vé xem phim nhaGhi nhận góp ý giúp em
USER: Cảm ơn
USER: Chị có thể kết thúc chat
CRM: Dạ góp ý của chị về vấn đề kiểm tra mục Quản lý đặt chỗ đã được MoMo ghi nhận và chuyển đến đội ngũ Phát triển Sản phẩm để xem xét và đánh giá. MoMo sẽ phản hồi ngay khi có kết quả.
CRM: Hiện em vẫn chưa nhận được phản hồi từ chị không biết chị cần em hỗ trợ thêm thông tin nào nữa không ạ? Nếu sau 2 phút không nhận được phản hồi thì phòng chat sẽ được đóng lại nên trường hợp cần hỗ trợ thêm thông tin chị vui lòng tương tác để em hỗ trợ kịp thời nhé.",Cụm 0: Gọi / Điện / Thoại,0.65,0.45422376225706856
204,"chậm có 1 ngày, đang bảo trong hôm nay sẽ thanh toán vì mới ra tết, mà nhân viên gọi doạ các kiểu, lạy luôn á",Cụm 0: Gọi / Điện / Thoại,0.65,0.4379181334950243
56,"Nhân viên nhắc nợ một cách không lịch sự mặc dù chưa tới ngày thanh toán, nói thẳng với khách hàng xử dụng dịch vụ là đến hạn sẽ không thể thanh toán và bắt khách phải thanh toán ngay lập tức khiến đời sống bị ảnh hưởng. ",Cụm 0: Gọi / Điện / Thoại,0.0,0.4355341656668296
195,"dịch vụ này có thể giảm bớt phiền hà không, cách 1 tiếng lại có 1 cuộc gọi nhắc nợ, khi chưa đến hạn. ngày 10 cuộc auto gọi thế này quá phiền phức",Cụm 0: Gọi / Điện / Thoại,0.35,0.43246250186665336
720,"Tôi có dùng sản phẩm vay nhanh trên app Momo cung cấp, tôi rất khó chịu khi chưa đến hạn thanh toán đã bị nhân viên công ty tài chính gọi điện thúc giục trả ngay, rất ức chế, ngữ điệu không lịch sự. Tôi luôn trả đúng hạn và không muốn họ gọi tôi kiểu này",Cụm 0: Gọi / Điện / Thoại,0.35,0.43246250186665336
1150,"Bên ví trả sau đang làm dịch vụ hay đang đi đòi nợ thuê vậy? Chưa tới hạn thanh toán mà gọi điện từ sáng sớm, gọi dồn dập làm phiền cực kỳ.
Khách bắt máy thì không cho nói, chỉ biết chen ngang đòi tiền, trong khi rõ ràng chưa tới hạn. Thái độ thì khó nghe, cách nói chuyện thiếu chuyên nghiệp, thiếu tôn trọng khách hàng.
Dịch vụ tài chính mà hành xử kiểu này thì chỉ khiến khách hàng muốn né cho nhanh chứ không ai muốn dùng lâu dài.Làm ơn, trước khi gọi điện đọc cho kỹ hai chữ “chưa tới hạn” giùm.",Cụm 0: Gọi / Điện / Thoại,0.35,0.43246250186665336
1297,chưa tới hạn đóng tiền bớt gọi khách hàng làm phiền. người ta tự giác đóng hoặc tới ngày roi hẳn đòi,Cụm 0: Gọi / Điện / Thoại,0.35,0.43246250186665336
1807,"chưa tới hạn thanh toán mà bên ngân hàng gọi điện làm phiền từ sáng tới chiều , còn nt hâm dọe",Cụm 0: Gọi / Điện / Thoại,0.35,0.43246250186665336
2294,"chưa đến hạn thanh toán nhưng nhân viên Mcredit toàn gọi điện giục thanh toán, tôi cảm thấy rất phiền",Cụm 0: Gọi / Điện / Thoại,0.35,0.43246250186665336
2832,chưa đến hạn đóng tiền đã bị gọi làm phiền,Cụm 0: Gọi / Điện / Thoại,0.35,0.43246250186665336
3578,Chưa đến hạn thanh toán nhưng gọi nhiều. RẤT PHIỀN,Cụm 0: Gọi / Điện / Thoại,0.35,0.43246250186665336
3715,chưa đến hạn mà cứ gọi cho tôi hoài vậy đến hạn tôi tự đóng còn ba ngày mà cứ gọi làm phiền,Cụm 0: Gọi / Điện / Thoại,0.35,0.43246250186665336
404,"gọi điện thoại quá nhiều lần , cảm thấy phiền",Cụm 0: Gọi / Điện / Thoại,0.35,0.40570672269309915
